"","year","donor","recipient","aiddata_sector_name","crs_sector_name","commitment_amount_usd_constant"
"78672",2009,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",134769
"78673",2009,"Germany","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",53647
"78674",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",41058
"78675",2009,"Germany","Croatia","SUPPORT TO NON- GOVERNMENTAL ORGANISATIONS (NGOs) AND GOVERNMENT ORGANIZATIONS","I.5.a. Government & Civil Society-general",247472
"78676",2009,"Germany","Croatia","Energy generation and supply","II.3. Energy",848852
"78677",2009,"Germany","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",1131803
"78678",2009,"Germany","Croatia","Other","IV.2. Other Multisector",21810
"78679",2009,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1563546
"78680",2009,"Germany","Croatia","Basic education","I.1.a. Education, Level Unspecified",14222
"78681",2009,"Germany","Croatia","Business and other services","II.5. Business & Other Services",565901
"78682",2009,"Germany","Croatia","Business and other services","II.5. Business & Other Services",2207
"78683",2009,"Germany","Croatia","Business and other services","II.5. Business & Other Services",36868
"78684",2009,"Germany","Croatia","","I.1.d. Post-Secondary Education",17222
"78685",2009,"Germany","Croatia","","I.1.d. Post-Secondary Education",828
"78686",2009,"Germany","Croatia","Education, level unspecified","I.1.d. Post-Secondary Education",177302
"78687",2009,"Germany","Croatia","","I.5.a. Government & Civil Society-general",27989
"78688",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",12705
"78689",2009,"Germany","Croatia","Multisector","I.1.d. Post-Secondary Education",10193
"78690",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",133719
"78691",2009,"Germany","Croatia","","I.1.a. Education, Level Unspecified",174
"78692",2009,"Germany","Croatia","Other","IV.2. Other Multisector",14148
"78693",2009,"Germany","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",673166
"78694",2009,"Germany","Croatia","Multisector","I.1.d. Post-Secondary Education",262171
"78695",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",12924
"78696",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",176910
"78698",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",357151
"78699",2009,"Germany","Croatia","Secondary education","I.1.d. Post-Secondary Education",3183
"78700",2009,"Germany","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",2547
"78701",2009,"Germany","Croatia","UNALLOCATED/  UNSPECIFIED","I.6. Other Social Infrastructure & Services",283137
"78702",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",1409
"78703",2009,"Germany","Croatia","Secondary education","I.1.c. Secondary Education",1273278
"78704",2009,"Germany","Croatia","","I.1.d. Post-Secondary Education",3311
"78705",2009,"Germany","Croatia","","I.1.d. Post-Secondary Education",509
"78706",2009,"Germany","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",5001777
"78707",2009,"Germany","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",48717
"78708",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",86753
"78709",2009,"Germany","Croatia","Basic education","I.1.b. Basic Education",85706
"78710",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",8573
"78711",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",78816
"78712",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",30134
"78713",2009,"Germany","Croatia","","I.1.d. Post-Secondary Education",707
"78714",2009,"Germany","Croatia","Secondary education","I.1.c. Secondary Education",566
"78715",2009,"Germany","Croatia","","II.5. Business & Other Services",28295
"78716",2009,"Germany","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",41378
"78717",2009,"Germany","Croatia","Business and other services","II.5. Business & Other Services",5668
"78718",2009,"Germany","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",2122
"78719",2009,"Germany","Croatia","Business and other services","II.5. Business & Other Services",16864
"78720",2009,"Germany","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",138239
"78721",2009,"Germany","Croatia","Agriculture","III.1.a. Agriculture",1131803
"78722",2009,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2830
"78725",2009,"Germany","Croatia","","I.1.a. Education, Level Unspecified",6022
"78726",2009,"Germany","Croatia","Energy generation and supply","II.3. Energy",2122130
"81447",2009,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",169138
"82715",2009,"Italy","Croatia","Tourism","III.3.b. Tourism",356142
"88700",2009,"Italy","Croatia","Health, general","I.2.a. Health, General",27316
"88713",2009,"Italy","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",15583
"88714",2009,"Italy","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",5897
"88716",2009,"Italy","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",5654
"88717",2009,"Italy","Croatia","Secondary education","I.1.c. Secondary Education",35335
"91144",2009,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",99723
"91222",2009,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",92470
"91223",2009,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",11738
"91224",2009,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",56195
"92394",2009,"Norway","Croatia","Transport and storage","II.1. Transport & Storage",50419
"92395",2009,"Norway","Croatia","","I.5.a. Government & Civil Society-general",201674
"92396",2009,"Norway","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",2831307
"114020",2001,"Switzerland","Croatia","Emergency response","VIII.1. Emergency Response",153613
"114577",1998,"Spain","Croatia","Health, general","I.2.a. Health, General",19497
"114693",1999,"Norway","Croatia","","XI. Refugees in Donor Countries",498507
"114910",2008,"European Communities (EC)","Croatia","General environmental protection","IV.1. General Environment Protection",1496778
"114956",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",7442
"115264",2003,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",4733798
"115281",2004,"Norway","Croatia","Unallocated/  unspecified","I.5.a. Government & Civil Society-general",33799
"115402",1999,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",139843
"115554",2001,"Australia","Croatia","Trade policy and regulations","III.3.a. Trade Policies & Regulations",2293
"115648",1996,"Switzerland","Croatia","","VI.2. Dev. Food Aid/Food Security Ass.",369225
"115909",2007,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",42036
"116878",2005,"Greece","Croatia","Other","IV.2. Other Multisector",22220
"117561",2001,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",578493
"117842",2008,"Germany","Croatia","","I.1.d. Post-Secondary Education",76938
"117921",2006,"Italy","Croatia","","I.5.a. Government & Civil Society-general",109260
"118067",2004,"Norway","Croatia","Government and civil society, general","I.6. Other Social Infrastructure & Services",255481
"118069",1999,"Norway","Croatia","General environmental protection","IV.1. General Environment Protection",321710
"118299",2006,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",83731
"118390",2004,"Austria","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",1106
"119171",2000,"Austria","Croatia","Industry","III.2.a. Industry",39108
"119327",2001,"Norway","Croatia","Health, general","I.2.a. Health, General",106681
"119337",2007,"Germany","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",1153945
"119775",1996,"Italy","Croatia","Unallocated/  unspecified","IV.2. Other Multisector",14884
"119905",2001,"United States","Croatia","Disaster prevention and preparedness","VIII.1. Emergency Response",10429113
"119986",2004,"France","Croatia","","III.2.a. Industry",1235
"120155",2005,"Sweden","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",2595476
"120203",2005,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",827324
"120573",2007,"European Communities (EC)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",2773434
"120870",2000,"United States","Croatia","","II.5. Business & Other Services",10008054
"120992",2003,"United States","Croatia","Business and other services","II.5. Business & Other Services",481685
"121158",1999,"Norway","Croatia","","XI. Refugees in Donor Countries",152129
"121416",2006,"United States","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",7687
"121534",2002,"Germany","Croatia","Other","I.1.d. Post-Secondary Education",1587
"121583",2000,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",82141
"121604",2007,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",27801
"121970",2008,"Austria","Croatia","Unallocated/  unspecified","I.1.d. Post-Secondary Education",4955
"122245",2000,"United Nations Children`s Fund (UNICEF)","Croatia","","I.2.b. Basic Health",15598
"122445",2005,"France","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",112201
"122473",2004,"Norway","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",1788364
"122739",2008,"France","Croatia","Other","IV.2. Other Multisector",40327
"123240",2008,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",572929
"124145",2008,"Sweden","Croatia","General budget support","I.6. Other Social Infrastructure & Services",6901
"124580",1999,"Italy","Croatia","","I.1.d. Post-Secondary Education",2037
"124606",2006,"Norway","Croatia","Business and other services","II.5. Business & Other Services",258988
"124750",2002,"Norway","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",28557
"125561",2002,"Norway","Croatia","Government and civil society, general","I.6. Other Social Infrastructure & Services",2783727
"126055",2003,"Japan","Croatia","","II.3. Energy",27391
"126072",2007,"Norway","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",3072064
"126298",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",6549
"126395",2003,"Switzerland","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",43089
"127422",2000,"Canada","Croatia","Conflict prevention and resolution, peace and security","I.5.a. Government & Civil Society-general",786925
"127532",2002,"France","Croatia","Other","IV.2. Other Multisector",6415
"127932",2007,"France","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",317968
"128447",2001,"Austria","Croatia","","I.1.d. Post-Secondary Education",118553
"129206",2004,"European Communities (EC)","Croatia","General environmental protection","IV.1. General Environment Protection",29987
"129289",2008,"France","Croatia","Other","IV.2. Other Multisector",4876
"129464",2001,"Switzerland","Croatia","Emergency response","VIII.1. Emergency Response",3289568
"129773",2008,"Sweden","Croatia","Other social infrastructure and services","I.5.a. Government & Civil Society-general",16049
"130207",2003,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",150163
"130230",2005,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2796557
"130391",2005,"Germany","Croatia","Industry","III.2.a. Industry",4205
"130537",2006,"Norway","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",638836
"130721",1998,"United Kingdom","Croatia","","II.4. Banking & Financial Services",679028
"130920",2006,"Greece","Croatia","","IV.1. General Environment Protection",18134
"131287",2008,"Belgium","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",183100
"131688",1995,"France","Croatia","Other","IV.2. Other Multisector",38225
"131879",2007,"United States","Croatia","Agriculture","III.1.a. Agriculture",3716
"131950",2008,"Japan","Croatia","Unallocated/  unspecified","IV.1. General Environment Protection",62378
"131984",2008,"United Nations Development Programme (UNDP)","Croatia","Other","IV.2. Other Multisector",31353
"131998",1999,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",3629533
"132419",2006,"Norway","Croatia","Agriculture","III.1.a. Agriculture",554665
"133026",2000,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",178178
"133182",2004,"European Communities (EC)","Croatia","Business and other services","I.5.a. Government & Civil Society-general",9291912
"133747",2007,"France","Croatia","Health, general","I.2.a. Health, General",18332
"133922",2006,"Switzerland","Croatia","Other","IV.2. Other Multisector",4766
"134417",2003,"Germany","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",1367621
"134685",2008,"Japan","Croatia","Unallocated/  unspecified","I.1.d. Post-Secondary Education",33095
"134968",2006,"United Nations Development Programme (UNDP)","Croatia","","IV.1. General Environment Protection",32809
"134981",2000,"Germany","Croatia","","I.1.a. Education, Level Unspecified",81275
"135126",2001,"Spain","Croatia","","I.1.d. Post-Secondary Education",30095
"135129",2003,"Japan","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",20679
"135305",2008,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",4034181
"135430",2002,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",142694
"135743",2003,"Germany","Croatia","Unallocated/  unspecified","VIII.1. Emergency Response",1061806
