"","year","donor","recipient","aiddata_sector_name","crs_sector_name","commitment_amount_usd_constant"
"425165",2002,"European Communities (EC)","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",40310
"425375",2006,"Japan","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",775
"425931",2001,"Norway","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",33250
"426475",2003,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2201
"428558",1998,"Germany","Croatia","","XI. Refugees in Donor Countries",32352
"428573",1999,"France","Croatia","","I.1.a. Education, Level Unspecified",771103
"429523",2003,"Japan","Croatia","","II.3. Energy",72853
"429567",2006,"United Nations Development Programme (UNDP)","Croatia","Communications","II.2. Communications",23764
"429681",2001,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",18148
"430021",2007,"Germany","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",1208660
"430379",2000,"Spain","Croatia","Conflict prevention and resolution, peace and security","I.5.a. Government & Civil Society-general",179328
"430410",2007,"France","Croatia","Other","IV.2. Other Multisector",5001
"430659",1998,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",11067
"430764",2003,"Norway","Croatia","Tourism","III.3.b. Tourism",197554
"431197",2006,"United States","Croatia","Other social infrastructure and services","I.5.a. Government & Civil Society-general",9883
"431506",1998,"Italy","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",15078
"431531",2004,"Italy","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",392113
"431649",2001,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",39954
"431937",2002,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",55347
"432037",2000,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",425553
"432097",2005,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",46237
"432807",1999,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",10239
"433080",2007,"Norway","Croatia","Agriculture","III.1.a. Agriculture",34669
"433628",2003,"Belgium","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",8605
"434077",2002,"Sweden","Croatia","Health, general","I.2.a. Health, General",268284
"434263",2005,"Netherlands","Croatia","","XI. Refugees in Donor Countries",90338
"434714",2008,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",28887
"434826",1997,"Finland","Croatia","Emergency response","VIII.1. Emergency Response",205949
"435406",2009,"Japan","Croatia","Agriculture","III.1.a. Agriculture",30278
"435559",2009,"Japan","Croatia","Industry","III.2.a. Industry",24381
"435737",2009,"Japan","Croatia","","I.4. Water Supply & Sanitation",49
"435807",2009,"Japan","Croatia","","XII. Unallocated / Unspecified",14799
"435949",2009,"Japan","Croatia","","I.1.a. Education, Level Unspecified",7101
"436196",2009,"Japan","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",17790
"436714",2009,"Japan","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",596
"436903",2009,"Japan","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",119410
"450510",2009,"Australia","Croatia","Other","IV.2. Other Multisector",22699
"453770",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1844536
"453771",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1347930
"453772",2009,"European Communities (EC)","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",1578143
"453773",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2128311
"453774",2009,"European Communities (EC)","Croatia","General environmental protection","IV.1. General Environment Protection",2412086
"453775",2009,"European Communities (EC)","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",1418874
"453776",2009,"European Communities (EC)","Croatia","General environmental protection","IV.1. General Environment Protection",3689073
"453777",2009,"European Communities (EC)","Croatia","Health, general","I.2.a. Health, General",2837748
"453778",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",8309878
"453779",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",7527025
"453780",2009,"European Communities (EC)","Croatia","Construction","III.2.c. Construction",241205
"453781",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",7066
"453782",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",3547185
"453783",2009,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",1135099
"453784",2009,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",567550
"453785",2009,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",1418874
"453786",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",794856
"453787",2009,"European Communities (EC)","Croatia","","II.1. Transport & Storage",26249526
"453788",2009,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",18018992
"453789",2009,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",4552720
"453790",2009,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",3716856
"453791",2009,"European Communities (EC)","Croatia","","III.1.a. Agriculture",36606953
"453792",2009,"European Communities (EC)","Croatia","","I.6. Other Social Infrastructure & Services",20148013
"453793",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1560762
"453794",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2906209
"453795",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",3547185
"453796",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1942439
"453797",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1047129
"453798",2009,"European Communities (EC)","Croatia","Business and other services","II.5. Business & Other Services",1135099
"453799",2009,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",2594173
"453800",2009,"European Communities (EC)","Croatia","Health, general","I.2.a. Health, General",1418874
"453801",2009,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1347930
"453802",2009,"European Communities (EC)","Croatia","Agriculture","III.1.a. Agriculture",9143225
"455317",2009,"United Nations Development Programme (UNDP)","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",32304
"455337",2009,"United Nations Development Programme (UNDP)","Croatia","Energy generation and supply","II.3. Energy",76905
"455338",2009,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",32164
"455339",2009,"United Nations Development Programme (UNDP)","Croatia","Other","IV.2. Other Multisector",22042
"455340",2009,"United Nations Development Programme (UNDP)","Croatia","Tourism","III.3.b. Tourism",89557
"455341",2009,"United Nations Development Programme (UNDP)","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",107691
"455343",2009,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",109564
"455345",2009,"United Nations Development Programme (UNDP)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",95555
"455346",2009,"United Nations Development Programme (UNDP)","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",377171
"455347",2009,"United Nations Development Programme (UNDP)","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",107680
"455348",2009,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",250119
"455350",2009,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",40229
"458715",2009,"United Nations Children`s Fund (UNICEF)","Croatia","Other","IV.2. Other Multisector",339935
"470299",2009,"France","Croatia","Basic education","I.1.b. Basic Education",91776
"470415",2009,"Sweden","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",21398
"473201",2006,"Korea","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",19692
"473202",2006,"Korea","Croatia","","I.1.d. Post-Secondary Education",16383
"473203",2006,"Korea","Croatia","","XII. Unallocated / Unspecified",8546
"481487",2001,"Netherlands","Croatia","","XI. Refugees in Donor Countries",389348
"481646",2007,"Norway","Croatia","Emergency response","VIII.1. Emergency Response",133020
"481669",2004,"United States","Croatia","Other","IV.2. Other Multisector",80815
"482267",2008,"European Communities (EC)","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",74199
"482300",2006,"Austria","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",18576
"482316",2002,"Germany","Croatia","Other","III.1.a. Agriculture",1512
"482387",2006,"Norway","Croatia","Emergency response","VIII.1. Emergency Response",137048
"482398",1996,"Canada","Croatia","Reconstruction relief","VIII.1. Emergency Response",140268
"482535",2003,"Canada","Croatia","Industry","III.2.a. Industry",65500
"482636",2005,"United States","Croatia","Communications","I.5.a. Government & Civil Society-general",3401
"483443",1996,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",391960
"548503",2004,"France","Croatia","Other","IV.2. Other Multisector",2372
"548589",1995,"Italy","Croatia","","I.1.d. Post-Secondary Education",60728
"548694",2006,"Germany","Croatia","","I.1.d. Post-Secondary Education",12274
"549254",2006,"Germany","Croatia","General environmental protection","VIII.2. Reconstruction Relief & Rehabilitation",4730
"549616",2006,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2961302
"549620",2003,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",6311730
"549636",2008,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",103658
"549665",2005,"Norway","Croatia","Energy generation and supply","II.3. Energy",21019
"549795",2003,"Spain","Croatia","","I.1.d. Post-Secondary Education",87064
"549965",2006,"Norway","Croatia","Energy generation and supply","II.3. Energy",1832768
"550130",2008,"Germany","Croatia","","I.1.a. Education, Level Unspecified",43178
"550206",2002,"France","Croatia","","I.5.a. Government & Civil Society-general",19937
"550268",1998,"Japan","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",467259
"550428",2003,"Belgium","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",6140
"550489",2004,"Norway","Croatia","Agriculture","III.1.a. Agriculture",1195649
"551001",2008,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",138964
"551292",2008,"Japan","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",22711
"551414",2001,"Switzerland","Croatia","Agriculture","III.1.a. Agriculture",212311
"552597",2005,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",7852771
"553466",2005,"Japan","Croatia","","X. Support to NGO's",991200
"553512",1998,"France","Croatia","Other","IV.2. Other Multisector",2951
"553827",2005,"Austria","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",4578223
"554101",2006,"Germany","Croatia","","I.1.d. Post-Secondary Education",2931
"554183",1998,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",33016
"554259",1997,"France","Croatia","Other","IV.2. Other Multisector",348524
"555211",2002,"France","Croatia","","II.5. Business & Other Services",4645
"555284",2002,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",79058
"555506",1995,"Netherlands","Croatia","Health, general","I.2.a. Health, General",22969
"555596",1999,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",83653
"556096",2006,"Norway","Croatia","General environmental protection","IV.1. General Environment Protection",496393
"556190",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",6549
"556706",1995,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1181754
"556893",2007,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",30802
"556947",2007,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",133895
"557287",2004,"Italy","Croatia","Other","IV.2. Other Multisector",5508252
"557741",1998,"Canada","Croatia","Health, general","I.2.a. Health, General",40339
"557836",2004,"Germany","Croatia","Conflict prevention and resolution, peace and security","I.1.a. Education, Level Unspecified",149444
"558298",2006,"United States","Croatia","Business and other services","II.5. Business & Other Services",7687
"558595",1998,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1402833
"558716",2004,"France","Croatia","Communications","I.6. Other Social Infrastructure & Services",16121
"559452",1996,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",47494
"559598",2005,"Sweden","Croatia","Other social infrastructure and services","I.5.a. Government & Civil Society-general",648973
"560319",2000,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",574718
"561938",1999,"United States","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",991218
"562164",2007,"United Nations Development Programme (UNDP)","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",20959
"562369",1998,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",42706
"562971",2001,"Italy","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",79445
"563164",2007,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",3415
"563615",2002,"Germany","Croatia","","XI. Refugees in Donor Countries",15376
"563925",2002,"Norway","Croatia","Unallocated/  unspecified","I.5.a. Government & Civil Society-general",103691
"564007",2003,"France","Croatia","","I.1.d. Post-Secondary Education",50727
"564128",2008,"Germany","Croatia","Government and civil society, general","IV.2. Other Multisector",75023
"564233",2005,"Spain","Croatia","","I.1.d. Post-Secondary Education",113044
"564427",2000,"Sweden","Croatia","","I.2.a. Health, General",129921
"564458",2004,"Japan","Croatia","Transport and storage","I.1.d. Post-Secondary Education",209174
"565360",2000,"Germany","Croatia","Reconstruction relief","VIII.1. Emergency Response",1585845
"565471",2005,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",3369
"565721",2006,"Norway","Croatia","Government and civil society, general","I.5.b. Conflict, Peace & Security",2633040
"565892",2002,"Sweden","Croatia","Agriculture","III.1.a. Agriculture",11089
"565962",2000,"Australia","Croatia","Other","IV.2. Other Multisector",7239
"566158",2008,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",20218
"566374",2000,"Belgium","Croatia","Emergency response","VIII.1. Emergency Response",1380361
"566427",1997,"Switzerland","Croatia","","VI.2. Dev. Food Aid/Food Security Ass.",205007
"566739",2002,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1057816
"566891",2000,"Italy","Croatia","","I.1.d. Post-Secondary Education",35417
"567124",2001,"United States","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",432308
"567358",2005,"Austria","Croatia","Reconstruction relief","VIII.1. Emergency Response",46530
"567562",2001,"Norway","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",683590
"567862",2005,"Austria","Croatia","Tourism","III.3.b. Tourism",32116
"567975",2003,"Norway","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",20290
"568500",1996,"Italy","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",545740
"568657",2006,"Germany","Croatia","","I.1.d. Post-Secondary Education",5592270
"568808",2003,"United States","Croatia","Banking and financial services","II.4. Banking & Financial Services",918814
"569160",1995,"United States","Croatia","Other","IV.2. Other Multisector",120956
"569648",2001,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",18312
"570632",2005,"Germany","Croatia","Unallocated/  unspecified","III.3.b. Tourism",59772
"570668",2004,"Germany","Croatia","Unallocated/  unspecified","III.3.b. Tourism",30555
"571105",2001,"Austria","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",119819
"571142",2007,"United Kingdom","Croatia","Energy generation and supply","II.3. Energy",32424
"571428",2007,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",42119
"571661",1999,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",115012
"571849",1995,"Canada","Croatia","Health, general","I.2.a. Health, General",1253038
"572187",1995,"Sweden","Croatia","Reconstruction relief","VIII.1. Emergency Response",136291
"572703",2005,"European Communities (EC)","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",18700693
"573613",2003,"United States","Croatia","Business and other services","II.5. Business & Other Services",13597968
"573623",1998,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",342991
"573977",2003,"European Communities (EC)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",50489
"574020",2002,"France","Croatia","Agriculture","III.1.a. Agriculture",23432
"574266",2003,"Germany","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",56081306
"574323",1997,"Belgium","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",188354
"574411",1998,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1481721
"574475",2008,"European Communities (EC)","Croatia","Agriculture","III.1.a. Agriculture",4490871
"574590",2003,"France","Croatia","Other","IV.2. Other Multisector",50101
"575230",2007,"Germany","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",43271
"575402",2000,"Sweden","Croatia","General environmental protection","IV.1. General Environment Protection",16704
"575576",2008,"Italy","Croatia","Tourism","III.3.b. Tourism",372611
"576035",1998,"Austria","Croatia","","I.1.d. Post-Secondary Education",32210
"576122",2007,"Austria","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",64742
"576145",2005,"United Nations Development Programme (UNDP)","Croatia","Other","IV.2. Other Multisector",308
"576581",2005,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",32489
"578043",2002,"United States","Croatia","Emergency response","I.5.a. Government & Civil Society-general",614768
"578268",2008,"Austria","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",9894
"578381",2008,"United States","Croatia","Multisector","I.5.b. Conflict, Peace & Security",22446
"578423",2005,"Austria","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",1241
"578513",2004,"United States","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",53877
"578973",2006,"Germany","Croatia","","I.1.a. Education, Level Unspecified",17448
"580714",2004,"Belgium","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",122926
"580735",2007,"Japan","Croatia","Unallocated/  unspecified","I.1.a. Education, Level Unspecified",202
"581032",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",4267
"581140",2003,"Greece","Croatia","Other","IV.2. Other Multisector",37021
"581221",2002,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1589
"581702",2006,"European Communities (EC)","Croatia","Trade policy and regulations","III.3.a. Trade Policies & Regulations",2986628
"581874",2004,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",28699
"582403",2002,"European Communities (EC)","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",22550
"583176",1996,"Germany","Croatia","","VII. Action Relating to Debt",112476819
"583246",2004,"Germany","Croatia","Conflict prevention and resolution, peace and security","I.5.a. Government & Civil Society-general",42910
"583349",2002,"Norway","Croatia","Emergency response","VIII.2. Reconstruction Relief & Rehabilitation",1128523
"583439",2008,"Switzerland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",11310
"583668",2008,"United Nations Development Programme (UNDP)","Croatia","","II.5. Business & Other Services",35213
"584267",2002,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",56989
"584653",2004,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",32422
"584712",2002,"Australia","Croatia","Unallocated/  unspecified","I.5.b. Conflict, Peace & Security",250404
"584726",1998,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",686
"584770",2002,"Norway","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",167024
"585163",2005,"United Nations Development Programme (UNDP)","Croatia","","IV.1. General Environment Protection",13325
"585257",2006,"United States","Croatia","Business and other services","II.5. Business & Other Services",23060
"585271",2003,"Switzerland","Croatia","Unallocated/  unspecified","I.5.a. Government & Civil Society-general",9849
"585438",2008,"Germany","Croatia","Business and other services","II.5. Business & Other Services",8104
"586011",2003,"Switzerland","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",93564
"586081",2001,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",4949
"586502",2003,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",39022
"586608",2003,"Norway","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",3694434
"586836",2004,"Japan","Croatia","Transport and storage","III.3.b. Tourism",41696
"586948",2008,"Germany","Croatia","","I.1.a. Education, Level Unspecified",102769
"586969",2004,"France","Croatia","Other","IV.2. Other Multisector",15708
"586984",2008,"Germany","Croatia","","I.1.a. Education, Level Unspecified",193994
"587251",2004,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",5265417
"587599",1999,"United States","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",652666
"587722",2002,"Australia","Croatia","Other","IV.2. Other Multisector",35530
"587750",2008,"United States","Croatia","Other","IV.2. Other Multisector",204384
"587772",1999,"United States","Croatia","","I.1.d. Post-Secondary Education",1843519
"588523",2005,"Joint United Nations Programme on HIV/AIDS (UNAIDS)","Croatia","Population policies/ programmes and reproductive health","I.3. Population Pol./Progr. & Reproductive Health",60739
"588708",2007,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",1459702
"588953",2002,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",5269
"589100",2005,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",235253
"589527",2006,"European Communities (EC)","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",8959885
"590096",2005,"Germany","Croatia","Other social infrastructure and services","I.5.a. Government & Civil Society-general",34393
"590558",2008,"European Communities (EC)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",1432323
"590738",2004,"Norway","Croatia","Energy generation and supply","II.3. Energy",1686171
"592294",1999,"Austria","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",123101
"592572",2001,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",838386
"592589",2003,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",4733798
"592620",2007,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",75837
"593017",2003,"Germany","Croatia","Other","I.1.d. Post-Secondary Education",33484
"593119",2008,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",4859909
"593446",2007,"European Communities (EC)","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",6422690
"593854",1997,"France","Croatia","Emergency response","VIII.1. Emergency Response",301511
"594679",2008,"Germany","Croatia","","I.1.a. Education, Level Unspecified",4795
"594772",2008,"United Nations Development Programme (UNDP)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",47253
"594995",2004,"United States","Croatia","Trade policy and regulations","I.5.b. Conflict, Peace & Security",995550
"595223",2006,"Norway","Croatia","Reconstruction relief","VIII.1. Emergency Response",203521
"595475",2003,"Norway","Croatia","Population policies/ programmes and reproductive health","I.3. Population Pol./Progr. & Reproductive Health",735296
"595520",2000,"Japan","Croatia","Other","IV.2. Other Multisector",140010
"596072",2009,"Portugal","Croatia","","IX. Administrative Costs of Donors",3034
"596092",2009,"Portugal","Croatia","","I.1.d. Post-Secondary Education",20155
"596093",2009,"Portugal","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",16124
"596096",2009,"Portugal","Croatia","","I.1.d. Post-Secondary Education",37155
"596962",2009,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",29202
"596998",2009,"Sweden","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",51174
"601358",2009,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",7816
"601544",2009,"United Kingdom","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",840970
"601545",2009,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",215001
"601546",2009,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",170678
"601547",2009,"United Kingdom","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",274600
"601548",2009,"United Kingdom","Croatia","","IV.1. General Environment Protection",4923
"601549",2009,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",166228
"601550",2009,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",166584
"601551",2009,"United Kingdom","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",6124
"605036",2009,"Finland","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",11516
"605040",2009,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",40031
"605048",2009,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",14952
"605049",2009,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",17523
"605050",2009,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",19639
"605051",2009,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",23147
"605052",2009,"Finland","Croatia","Other","IV.2. Other Multisector",41285
"605053",2009,"Finland","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",25878
"605054",2009,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",17831
"605055",2009,"Finland","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",19
"609935",2009,"Greece","Croatia","Energy generation and supply","II.3. Energy",142094
"609937",2009,"Greece","Croatia","","I.4. Water Supply & Sanitation",8000
"609938",2009,"Greece","Croatia","","IV.1. General Environment Protection",15417
"609939",2009,"Greece","Croatia","Other","IV.2. Other Multisector",28376
"609940",2009,"Greece","Croatia","Post-secondary education","IV.2. Other Multisector",9648
"609941",2009,"Greece","Croatia","","I.6. Other Social Infrastructure & Services",1634
"609942",2009,"Greece","Croatia","Health, general","I.2.a. Health, General",3439
"609943",2009,"Greece","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",104525
"609944",2009,"Greece","Croatia","Post-secondary education","IV.2. Other Multisector",6963
"609945",2009,"Greece","Croatia","","I.1.c. Secondary Education",13982
"609946",2009,"Greece","Croatia","","I.1.b. Basic Education",13982
"610879",2009,"Spain","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",31677
"610881",2009,"Spain","Croatia","Other","IV.2. Other Multisector",19063
"610882",2009,"Spain","Croatia","Other","IV.2. Other Multisector",5074
"610884",2009,"Spain","Croatia","Other","IV.2. Other Multisector",16144
"610885",2009,"Spain","Croatia","","IV.1. General Environment Protection",6483
"610886",2009,"Spain","Croatia","","I.2.a. Health, General",15602
"610888",2009,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",3101
"610889",2009,"Spain","Croatia","","I.1.d. Post-Secondary Education",15602
"610890",2009,"Spain","Croatia","","I.1.d. Post-Secondary Education",7892
"610891",2009,"Spain","Croatia","","IV.1. General Environment Protection",6483
"610893",2009,"Spain","Croatia","","I.6. Other Social Infrastructure & Services",13544
"610894",2009,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",4792
"610895",2009,"Spain","Croatia","Trade policy and regulations","III.3.a. Trade Policies & Regulations",9302
"610896",2009,"Spain","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",10147
"610897",2009,"Spain","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",33369
"610898",2009,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",3101
